                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.4962,                 1.1575,                 1.4933,                0.74939,                0.80896,                0.84445,                0.53585,                 1.4055,                 1.0018,                 1.3913,             0.00049719,             0.00049719,             0.00049719
                     75,                 1.4907,                 1.1748,                 1.4588,                0.73365,                0.79143,                0.83864,                0.52632,                  1.402,                 1.0027,                 1.3849,             0.00048687,             0.00048687,             0.00048687
                     76,                 1.5031,                 1.1964,                 1.4607,                0.70919,                 0.8026,                0.83532,                0.51686,                 1.4075,                0.97237,                  1.377,             0.00047656,             0.00047656,             0.00047656
                     77,                 1.5313,                 1.2043,                 1.4991,                0.88218,                0.65092,                0.84216,                0.52713,                 1.3875,                0.95129,                 1.3695,             0.00046625,             0.00046625,             0.00046625
                     78,                 1.5204,                 1.1515,                 1.5431,                0.86206,                0.71212,                0.85263,                0.53687,                 1.4383,                0.96142,                    1.4,             0.00045594,             0.00045594,             0.00045594
                     79,                 1.4768,                 1.1642,                 1.4909,                0.88903,                0.70999,                0.87408,                0.54808,                 1.4364,                 0.9526,                 1.3925,             0.00044563,             0.00044563,             0.00044563
                     80,                 1.4909,                 1.2115,                 1.4916,                0.84154,                0.80642,                0.88553,                0.55701,                 1.3762,                0.93174,                 1.3561,             0.00043531,             0.00043531,             0.00043531
                     81,                 1.4589,                 1.0986,                 1.4851,                0.86395,                0.78762,                0.87471,                0.54572,                 1.3819,                0.95772,                 1.3627,               0.000425,               0.000425,               0.000425
                     82,                 1.5016,                 1.1582,                 1.5075,                 0.8454,                0.77456,                0.86957,                0.54448,                 1.3865,                0.98974,                 1.3683,             0.00041469,             0.00041469,             0.00041469
                     83,                 1.4526,                 1.1773,                 1.4406,                0.84919,                0.79814,                 0.8775,                0.55825,                 1.3809,                0.95921,                 1.3574,             0.00040438,             0.00040438,             0.00040438
                     84,                 1.4648,                 1.0861,                 1.4579,                0.83149,                 0.8011,                0.88692,                0.56501,                   1.38,                0.92641,                 1.3493,             0.00039406,             0.00039406,             0.00039406
                     85,                 1.4749,                 1.1043,                 1.4361,                0.84845,                 0.8043,                0.88901,                0.56793,                 1.3643,                0.90222,                 1.3393,             0.00038375,             0.00038375,             0.00038375
                     86,                 1.4658,                 1.1037,                 1.3898,                0.82139,                0.82671,                0.88059,                0.56412,                 1.3578,                0.88707,                 1.3325,             0.00037344,             0.00037344,             0.00037344
                     87,                 1.4635,                  1.051,                 1.4295,                0.81952,                0.81424,                0.87032,                0.55593,                 1.3572,                0.91659,                 1.3269,             0.00036313,             0.00036313,             0.00036313
                     88,                 1.3982,                 1.0894,                  1.424,                0.87678,                0.74635,                0.86943,                0.54924,                 1.3564,                0.90963,                 1.3251,             0.00035281,             0.00035281,             0.00035281
                     89,                  1.485,                 1.1077,                 1.4206,                0.86496,                0.78744,                 0.8817,                0.56094,                 1.3552,                 0.8962,                 1.3246,              0.0003425,              0.0003425,              0.0003425
                     90,                 1.4054,                 1.0197,                 1.4122,                0.87042,                 0.7922,                0.88127,                0.55959,                 1.3787,                0.88144,                 1.3257,             0.00033219,             0.00033219,             0.00033219
                     91,                 1.4841,                 1.0394,                  1.421,                0.85297,                0.80318,                 0.8838,                0.57275,                 1.3675,                0.88963,                 1.3147,             0.00032188,             0.00032188,             0.00032188
                     92,                 1.4605,                 1.0689,                 1.4409,                0.85442,                0.79322,                0.86909,                0.57016,                 1.3554,                0.92213,                  1.311,             0.00031156,             0.00031156,             0.00031156
                     93,                  1.384,                 1.0114,                 1.4335,                0.87632,                0.80296,                0.87669,                 0.5655,                 1.3729,                0.91027,                 1.3175,             0.00030125,             0.00030125,             0.00030125
                     94,                 1.4372,                 1.0148,                 1.3824,                0.91751,                0.81525,                0.90075,                0.57473,                 1.3784,                0.87711,                  1.324,             0.00029094,             0.00029094,             0.00029094
                     95,                 1.4529,                 1.0471,                 1.4188,                0.87891,                0.82801,                0.90289,                0.57678,                 1.3648,                0.87427,                 1.3189,             0.00028063,             0.00028063,             0.00028063
                     96,                 1.4662,                 1.0482,                 1.4237,                 0.8716,                0.82286,                 0.8983,                  0.566,                 1.3713,                 0.8809,                 1.3321,             0.00027031,             0.00027031,             0.00027031
                     97,                 1.4426,                 1.0212,                 1.3946,                 0.8365,                0.82654,                0.89313,                0.57111,                 1.3613,                 0.8866,                 1.3321,                0.00026,                0.00026,                0.00026
                     98,                  1.425,                 1.0295,                 1.4056,                0.84003,                0.86539,                0.89739,                0.57951,                 1.3392,                 0.8704,                 1.3202,             0.00024969,             0.00024969,             0.00024969
                     99,                 1.4201,                 1.0258,                 1.3726,                0.86373,                0.84317,                0.90346,                0.57763,                 1.3358,                0.86226,                 1.3135,             0.00023938,             0.00023938,             0.00023938
                    100,                 1.4096,                 1.0362,                 1.3856,                0.88068,                0.82257,                0.89691,                0.58445,                 1.3257,                0.84583,                 1.2962,             0.00022906,             0.00022906,             0.00022906
                    101,                 1.4648,                 1.0178,                 1.4089,                0.88654,                0.82522,                0.89981,                0.58856,                 1.3421,                0.84597,                 1.2959,             0.00021875,             0.00021875,             0.00021875
                    102,                 1.3853,                 1.0101,                 1.3688,                0.90507,                0.80627,                0.89975,                0.58323,                  1.376,                0.82775,                 1.3076,             0.00020844,             0.00020844,             0.00020844
                    103,                 1.4012,                0.97275,                  1.385,                0.89741,                 0.8049,                0.89926,                0.58222,                 1.3735,                 0.8266,                 1.3116,             0.00019813,             0.00019813,             0.00019813
                    104,                 1.3821,                0.99251,                 1.3798,                0.85339,                0.83608,                0.89745,                0.57671,                 1.3609,                0.83172,                 1.3147,             0.00018781,             0.00018781,             0.00018781
                    105,                 1.4178,                0.96884,                 1.4146,                0.89532,                0.81008,                0.89494,                0.58484,                 1.3506,                0.83175,                 1.3084,              0.0001775,              0.0001775,              0.0001775
                    106,                 1.4404,                0.99866,                 1.3882,                0.88547,                0.84206,                0.90612,                 0.5849,                 1.3355,                0.82297,                 1.2938,             0.00016719,             0.00016719,             0.00016719
                    107,                 1.4068,                 0.9657,                 1.3538,                0.90031,                0.83363,                0.90689,                0.58492,                  1.335,                0.82365,                 1.2885,             0.00015688,             0.00015688,             0.00015688
